OrderID,CustomerName,ProductCategory,Amount,OrderDate,DeliveryStatus,Discount,City,PaymentMode,CustomerSince
6279,Jeremy Lewis,Electronics,115.78,2024-06-04,Pending,0.04,Lake Christopher,Cash,2022-08-11
6491,Trevor Young,Toys,249.61,2024-01-30,Returned,0.19,Port James,UPI,2020-07-09
1757,John Atkinson,Books,724.04,2023-07-29,Returned,0.06,Perryshire,Cash,2021-03-31
7291,David Douglas Jr.,Groceries,569.88,2025-01-06,Cancelled,0.25,Port Ronaldburgh,UPI,2023-05-19
9486,Justin Lowery,Electronics,554.55,2023-09-05,Pending,0.24,Andersonmouth,Wallet,2023-04-05
9702,Linda Dodson DVM,Toys,545.79,2024-09-20,Pending,0.12,Rivasside,UPI,2022-04-25
3607,Karen Green,Books,621.24,2023-12-12,Cancelled,0.18,Katiehaven,UPI,2022-06-24
4919,Billy Mitchell,Electronics,653.51,2023-12-31,Delivered,0.08,Luisside,UPI,2020-10-05
3267,James Hernandez,Books,593.98,2023-11-16,Returned,0.2,South Rickside,Wallet,2022-05-26
7812,Ross Price,Toys,133.78,2025-01-20,Pending,0.17,Port Nicoleshire,Credit Card,2022-01-13
8814,Guy Molina,Toys,708.85,2025-03-26,Returned,0.16,Medinaside,UPI,2022-12-26
4613,Don Tucker MD,Toys,761.06,2024-11-03,Returned,0.03,Ramseymouth,Credit Card,2020-12-17
9751,James Elliott,Books,824.56,2023-06-24,Cancelled,0.21,Lake Roymouth,UPI,2021-03-11
1823,Garrett Gibson,Books,384.37,2024-02-20,Cancelled,0.14,Ramirezchester,Cash,2021-06-28
2341,Paul Williams,Toys,151.3,2024-02-29,Cancelled,0.24,Lake Casey,Credit Card,2023-03-11
1659,Tiffany Gonzalez,Books,741.43,2023-06-18,Returned,0.02,East David,Credit Card,2023-04-07
2874,Claudia Lyons,Books,948.64,2025-01-18,Delivered,0.17,Garyville,UPI,2021-02-11
6096,Alexander Collins,Toys,873.94,2024-11-10,Cancelled,0.03,Sandersborough,UPI,2020-09-28
4978,Raymond Jefferson,Books,351.54,2024-09-11,Delivered,0.06,Port Tonyaton,Wallet,2021-11-23
9728,Jacob Hunter,Groceries,64.1,2024-02-23,Returned,0.05,Port Robertfort,UPI,2020-11-12
8102,Madison Poole,Groceries,114.42,2024-12-03,Returned,0.26,South Gregory,Wallet,2022-08-21
5425,Tamara Hampton,Fashion,709.92,2024-05-29,Pending,0.13,Petersenshire,Wallet,2021-07-23
6280,Sandra Miller,Groceries,81.76,2025-04-17,Cancelled,0.0,Sanchezmouth,UPI,2022-11-04
7209,Johnny Nguyen,Groceries,291.32,2024-06-15,Returned,0.16,West Lauren,Wallet,2021-11-12
5581,Meredith Hill,Groceries,256.24,2023-06-10,Cancelled,0.25,North John,Wallet,2022-02-23
9004,Cynthia Alvarez,Books,364.81,2024-12-06,Returned,0.01,Westtown,Cash,2020-10-24
5820,Michael Torres,Toys,444.13,2024-08-27,Delivered,0.12,Thomashaven,Credit Card,2021-11-18
7971,Krista Bell MD,Electronics,141.94,2024-01-27,Pending,0.23,Jerryborough,UPI,2021-10-05
2958,Tiffany Vaughn,Electronics,418.01,2023-10-29,Cancelled,0.26,Lake Todd,UPI,2022-12-04
9595,Veronica Wall,Books,736.54,2024-01-19,Cancelled,0.21,West Harry,Credit Card,2020-06-23
3073,William Tran,Toys,201.14,2024-11-25,Pending,0.1,Lake Miranda,Wallet,2022-07-04
2680,Laura Harrison,Books,533.07,2024-05-10,Returned,0.14,Jackton,Cash,2021-06-29
8827,Austin Vasquez,Books,291.26,2024-08-24,Returned,0.21,East Edwardshire,Wallet,2021-09-16
2395,Bailey Duran DDS,Books,719.74,2025-02-06,Pending,0.2,Port Alexandra,Wallet,2022-05-02
8253,Kevin Patterson,Books,998.21,2024-08-17,Cancelled,0.12,New Susanville,UPI,2021-04-20
4457,Brad Allen,Books,419.23,2024-08-04,Delivered,0.03,East Aaronmouth,Cash,2023-05-08
8699,David Mann,Toys,939.47,2024-11-30,Delivered,0.23,Jonesbury,Cash,2021-07-17
4241,Joshua Holland,Groceries,229.98,2025-05-08,Cancelled,0.03,Margaretland,Wallet,2020-09-02
3718,Linda Holloway,Toys,474.64,2025-05-18,Pending,0.02,Scottmouth,Wallet,2023-05-07
5982,Terri Mason,Fashion,230.8,2024-06-20,Returned,0.06,Millerton,Wallet,2022-04-04
5102,Darryl Craig,Electronics,522.75,2025-04-01,Returned,0.12,Port Emilyview,Wallet,2022-11-14
3870,Matthew Moon,Toys,552.81,2023-10-21,Pending,0.3,Waltersfort,Cash,2020-10-21
8700,Gary Santiago,Toys,527.84,2025-03-30,Delivered,0.22,West Robert,Credit Card,2022-07-11
5722,Jennifer Hodges,Groceries,20.64,2023-07-01,Cancelled,0.25,Millerview,Cash,2021-10-17
2899,Jennifer Robertson,Toys,953.09,2023-06-03,Delivered,0.28,Gutierrezborough,Credit Card,2022-08-16
6927,Kathleen Ramos,Electronics,319.76,2023-07-13,Delivered,0.14,West Andrea,Credit Card,2021-08-23
8178,Kari Johnson,Electronics,965.37,2024-10-04,Returned,0.3,Lake Eric,Credit Card,2022-10-05
1224,Anna Gay,Groceries,723.48,2025-05-12,Returned,0.28,South Staceyberg,Cash,2022-07-16
5781,Denise Davenport,Toys,579.07,2024-06-03,Delivered,0.18,South Andrea,Wallet,2022-01-18
4122,Katie Suarez,Toys,225.91,2025-04-04,Returned,0.04,West Kendrachester,Cash,2021-11-11
9318,Aaron Barber,Toys,845.42,2025-03-14,Pending,0.09,Grimesmouth,Credit Card,2022-09-16
8935,Juan Daniels,Books,222.02,2024-05-21,Pending,0.0,Mollybury,Wallet,2022-11-07
7274,Reginald Williams,Books,380.64,2025-01-01,Delivered,0.13,Thorntonfurt,Credit Card,2022-01-22
3492,Andrew Shaw MD,Books,451.63,2025-04-08,Cancelled,0.28,Port Meganville,UPI,2022-08-28
8486,Charles Pitts,Books,588.25,2023-09-30,Cancelled,0.29,South Kimberlyview,Cash,2021-11-09
7512,Sarah Phelps,Groceries,566.39,2025-03-31,Pending,0.29,Finleyfort,Cash,2022-09-20
1588,Cynthia Cohen,Electronics,619.61,2024-01-12,Delivered,0.1,Lake Christopher,Credit Card,2020-11-01
2646,Michael Berger,Toys,446.88,2023-07-08,Cancelled,0.16,Lauraport,Credit Card,2021-12-10
7141,David Jenkins,Electronics,485.99,2024-11-13,Cancelled,0.1,East Gregory,Credit Card,2023-01-04
7267,Cynthia Durham,Fashion,579.41,2023-09-22,Pending,0.18,South Dana,UPI,2022-05-16
5183,Stephanie Marshall,Groceries,198.98,2024-01-12,Pending,0.12,North Scott,Cash,2021-11-20
5901,Jessica Wright,Electronics,145.56,2025-03-20,Cancelled,0.09,Jamesfurt,Cash,2022-06-22
2747,Kenneth Andrews,Fashion,206.35,2024-11-27,Cancelled,0.25,Andrewfurt,UPI,2021-08-02
1132,Melissa Garner,Toys,180.95,2023-07-11,Returned,0.0,Wallport,Cash,2021-05-25
6772,Connor King,Books,123.84,2025-01-09,Delivered,0.23,Lake Colton,Cash,2023-02-01
1645,Jeremiah Riley,Books,355.2,2024-12-22,Delivered,0.06,North Renee,Wallet,2021-10-22
7807,Carlos Ryan,Toys,752.99,2024-03-13,Cancelled,0.22,Mariaview,Cash,2022-06-20
5835,Gina Wilson,Toys,794.75,2023-07-31,Delivered,0.2,Port Tammy,UPI,2023-04-18
7511,Regina Diaz,Toys,932.21,2025-02-06,Cancelled,0.04,Smithside,Cash,2020-12-10
8451,Paul Baker,Toys,104.11,2024-03-24,Delivered,0.14,Danielbury,Wallet,2022-06-04
1410,Terri Murphy,Electronics,210.0,2024-09-18,Cancelled,0.27,Lake Bryan,Wallet,2022-05-24
5951,Audrey Williams,Books,318.79,2023-07-01,Pending,0.0,Wendyville,Wallet,2020-10-30
4846,Brandy Chavez,Groceries,741.53,2024-11-04,Pending,0.12,Matthewsberg,Wallet,2022-03-08
2622,Lisa Crosby,Electronics,905.89,2024-01-06,Cancelled,0.15,Lake Mitchellmouth,Wallet,2022-04-23
4868,Ariana Jennings,Fashion,285.13,2024-07-29,Pending,0.13,Bruceview,Wallet,2021-03-23
3001,Samantha Davis,Fashion,436.69,2023-11-14,Cancelled,0.04,North Kristinbury,Cash,2020-12-14
4362,Phillip Clark,Electronics,554.67,2023-11-17,Cancelled,0.27,West Kim,UPI,2022-12-14
1046,William Huerta,Groceries,383.26,2024-07-26,Delivered,0.16,Laurenville,Wallet,2023-03-25
1422,Hunter Kramer,Books,973.2,2024-09-02,Returned,0.07,Alfredview,Cash,2020-08-22
3076,Kelly Reese,Toys,849.81,2024-06-06,Pending,0.11,Stricklandhaven,Wallet,2022-12-11
2786,Daniel Gilbert,Groceries,869.64,2024-12-18,Cancelled,0.03,Stephentown,Cash,2020-09-04
8847,Jessica Rodriguez,Electronics,202.29,2024-12-07,Pending,0.15,Jonesland,Wallet,2021-10-15
3430,Donald Schultz,Fashion,182.3,2024-08-01,Delivered,0.07,Oscarhaven,Wallet,2021-09-03
8433,Jessica Mcguire,Fashion,774.17,2023-08-30,Returned,0.08,South Shannon,Credit Card,2021-05-22
7779,Jesse Perry,Toys,187.62,2023-08-15,Pending,0.09,Ronaldview,Cash,2022-01-04
3500,Kara Davis,Toys,786.27,2023-08-08,Returned,0.2,South Colinstad,Credit Card,2020-12-21
1982,Kristina Rivera,Groceries,564.23,2023-09-05,Pending,0.25,Gomezchester,Credit Card,2020-08-20
5712,Heather Lane,Electronics,914.46,2023-11-15,Cancelled,0.27,Lake Timothy,Credit Card,2020-11-17
6736,Holly Farmer,Electronics,624.15,2024-08-21,Returned,0.06,Port Roy,Credit Card,2022-10-21
1430,Mary Steele,Fashion,198.63,2023-06-25,Delivered,0.14,West Jacqueline,Wallet,2021-09-24
6567,Christopher Thomas,Fashion,654.69,2024-10-25,Delivered,0.28,Jonestown,UPI,2020-10-22
9691,Jason Peterson,Fashion,416.47,2024-03-16,Returned,0.18,Jennifershire,Wallet,2022-12-15
2391,Brittney Webster,Groceries,317.02,2023-07-11,Cancelled,0.23,West Scottchester,Credit Card,2022-06-26
8242,Daniel Hunt,Toys,117.96,2024-02-26,Returned,0.07,Rodriguezshire,Credit Card,2022-06-27
9633,Amber Foster,Groceries,98.55,2024-09-10,Pending,0.09,North Jamesborough,Credit Card,2021-01-01
5186,Bryan Jimenez,Fashion,741.05,2024-05-02,Cancelled,0.22,East Omar,UPI,2023-05-31
4770,Sandra Drake,Groceries,785.15,2023-07-28,Delivered,0.26,Hensleyton,Credit Card,2022-04-10
1307,Blake Edwards,Toys,41.59,2024-05-01,Delivered,0.11,Mckinneychester,Cash,2021-08-25
2887,Vincent Jackson,Books,813.82,2024-09-25,Returned,0.26,Collierstad,UPI,2020-10-16
8155,Dana Chapman,Books,313.55,2024-07-13,Cancelled,0.22,South Monicamouth,Cash,2021-05-12
6456,Angela Schultz,Fashion,984.71,2024-07-19,Returned,0.29,Port Michael,Credit Card,2023-03-01
3419,Charles Gonzalez,Books,44.28,2024-09-12,Returned,0.19,Port Katherine,UPI,2020-09-27
3902,Lori Marshall,Toys,321.84,2024-08-13,Pending,0.02,Maldonadoshire,Wallet,2023-02-25
6295,Lori Hernandez,Books,549.41,2023-07-26,Cancelled,0.05,Ramosport,Wallet,2021-08-02
1920,Benjamin Murray,Toys,910.12,2023-07-02,Delivered,0.12,West Marieland,Wallet,2023-02-28
2479,Katie Ford,Groceries,868.63,2024-08-06,Cancelled,0.28,South Reginashire,Cash,2023-03-11
4084,John Hernandez,Groceries,182.64,2023-07-21,Returned,0.13,Garciamouth,UPI,2020-10-11
9266,Amanda Zimmerman,Fashion,664.51,2024-05-09,Cancelled,0.2,West Nathan,Wallet,2021-08-15
7347,George Harper,Groceries,243.11,2025-02-05,Delivered,0.3,Cameronville,Cash,2022-10-16
7333,Nathaniel Douglas,Fashion,695.55,2025-05-06,Pending,0.27,West Christopher,Credit Card,2023-03-29
3317,Emily Douglas,Fashion,468.56,2024-10-29,Returned,0.21,Andersonland,UPI,2021-09-25
7171,Erin Anderson,Fashion,643.57,2024-11-29,Cancelled,0.08,Lake Ellenhaven,Wallet,2021-12-16
1298,Christopher Lewis,Fashion,111.41,2025-01-18,Pending,0.15,Leeberg,Credit Card,2021-01-28
2264,Richard Romero,Fashion,509.72,2024-07-26,Cancelled,0.09,Lake Matthewberg,Wallet,2022-12-16
7172,Christopher Schwartz,Books,490.29,2024-09-30,Returned,0.12,Lake Samuel,Cash,2022-03-02
6968,Cynthia Wallace,Toys,372.95,2024-01-10,Pending,0.28,Youngbury,Cash,2021-09-25
8684,Cheyenne Gregory,Fashion,73.62,2024-08-19,Returned,0.11,Murrayport,UPI,2022-01-16
9239,Tracy Montoya,Electronics,897.41,2025-02-14,Cancelled,0.04,Port John,Wallet,2023-02-23
8873,Kristen Garcia,Books,439.85,2025-03-21,Cancelled,0.13,West Christopherburgh,Credit Card,2021-07-30
8361,Brittany Kim,Fashion,901.73,2025-05-10,Returned,0.2,Port Shannon,Cash,2021-11-27
1436,James Brooks,Groceries,978.96,2024-03-28,Cancelled,0.09,West Jeffreymouth,Credit Card,2020-11-02
6493,Brenda Mitchell,Fashion,195.94,2025-03-08,Returned,0.23,Hortonberg,Cash,2022-05-31
8349,Susan Smith,Groceries,737.59,2023-11-17,Pending,0.24,New Shelby,Wallet,2023-01-03
9647,Ricardo Young,Toys,471.74,2023-09-05,Cancelled,0.2,East Robertmouth,Cash,2020-09-07
2816,Kathryn Herrera,Electronics,975.09,2024-10-05,Cancelled,0.2,Lake Douglas,Cash,2022-03-30
1025,Cynthia Butler,Electronics,536.8,2024-10-31,Cancelled,0.05,New Theresaland,UPI,2022-08-28
9914,Virginia Spencer,Books,835.15,2024-04-01,Pending,0.02,Williamsfurt,UPI,2022-01-02
5155,Heather Jones,Fashion,567.4,2023-12-07,Delivered,0.19,Port Bonniemouth,Credit Card,2020-12-26
1726,George Day,Groceries,574.27,2025-03-08,Cancelled,0.18,Pollardfort,Credit Card,2023-02-08
3986,Amy Parsons,Electronics,884.25,2024-05-23,Delivered,0.14,West Jamesborough,UPI,2020-08-06
6170,Kaylee Hays,Groceries,330.16,2024-07-28,Delivered,0.25,Kingborough,Cash,2021-08-20
6848,Amber Rios,Books,400.47,2024-01-01,Returned,0.0,Port Michealfurt,UPI,2022-04-16
7334,Cody Holt,Fashion,194.4,2024-03-14,Pending,0.04,Lauriechester,UPI,2020-10-02
8055,Samantha Gardner,Electronics,472.67,2024-02-07,Pending,0.02,North Markport,Cash,2021-09-21
8305,Jessica Norris,Groceries,50.5,2024-03-02,Cancelled,0.21,Williamsstad,Cash,2023-01-13
8126,William Gould,Groceries,523.87,2023-07-31,Pending,0.18,Coxburgh,Credit Card,2020-07-20
3339,Megan Kim,Fashion,987.49,2023-09-09,Cancelled,0.25,East Kimberlystad,Wallet,2021-12-16
7272,Amanda Hernandez,Fashion,251.94,2024-05-17,Delivered,0.25,Nathanland,Cash,2022-11-10
3255,Jennifer Banks,Groceries,42.49,2023-12-13,Delivered,0.26,North Jillfort,Credit Card,2022-08-15
7340,Autumn Hampton,Toys,206.03,2024-11-30,Returned,0.26,Lewisport,Wallet,2023-05-16
9047,Chad Jones,Groceries,51.28,2023-10-15,Returned,0.01,Osbornmouth,UPI,2023-04-05
6692,Krista Roberts,Groceries,449.48,2024-01-21,Pending,0.11,Lake Jenna,UPI,2023-05-25
3852,Katie Martinez,Groceries,665.03,2023-11-06,Cancelled,0.0,East Kristy,Wallet,2020-07-12
6912,Jackie Lara,Electronics,917.73,2024-08-04,Pending,0.22,New Nicole,Cash,2020-09-12
6067,Mitchell Mendoza,Toys,705.06,2024-04-17,Pending,0.07,Morrowland,Cash,2020-12-13
6194,Joanna Frazier,Electronics,618.19,2024-02-25,Returned,0.04,Port Kimberly,Credit Card,2023-02-20
3981,Betty Shaw,Toys,469.48,2025-04-07,Returned,0.0,Port Davidberg,Wallet,2021-09-17
3697,Timothy Perez,Fashion,781.0,2025-06-02,Delivered,0.23,Meghanview,Wallet,2021-04-02
5496,Eric Ferguson,Fashion,865.0,2024-06-27,Cancelled,0.03,New Shelly,Credit Card,2021-01-27
3804,Michelle Jacobs,Fashion,242.0,2025-03-18,Returned,0.2,Port Michelleland,Credit Card,2020-08-11
5336,Pamela Butler,Electronics,812.68,2024-10-11,Cancelled,0.02,South Pamelaside,Credit Card,2021-08-25
5949,Dr. Michael Evans,Toys,918.14,2023-07-29,Pending,0.01,East Scottfort,Wallet,2022-05-24
4342,Charles Hensley,Electronics,488.16,2024-02-06,Returned,0.12,Theresaberg,Credit Card,2021-12-29
9437,Emma Owens,Books,610.71,2023-12-27,Pending,0.04,Wrightville,Cash,2020-08-19
5754,Sharon Barnes,Books,328.02,2025-04-05,Cancelled,0.15,Port Mark,UPI,2022-11-16
6123,Christopher Ferrell,Toys,413.42,2024-05-30,Returned,0.22,Kochfort,Wallet,2020-07-08
2475,Kathy Levy,Electronics,786.47,2023-11-17,Cancelled,0.09,Brandonport,Credit Card,2022-07-10
8710,Adam Rodriguez,Electronics,876.96,2023-09-15,Pending,0.21,Jessicafurt,Wallet,2021-12-22
1741,Kelly Lee,Fashion,299.21,2024-08-05,Delivered,0.11,Charleshaven,Wallet,2022-05-02
5582,Lisa Carr,Toys,272.01,2023-09-10,Delivered,0.1,South Nathanielmouth,UPI,2022-10-16
6990,Christina Hicks,Fashion,401.82,2024-06-25,Delivered,0.06,North Benjaminmouth,UPI,2022-06-07
9508,Larry Robertson,Electronics,687.85,2024-02-12,Cancelled,0.03,Franciscoport,UPI,2022-12-11
6511,Katrina Burns,Toys,61.74,2024-08-13,Cancelled,0.24,Thomastown,Wallet,2021-12-26
6427,Veronica Silva,Groceries,285.3,2025-02-10,Delivered,0.3,New Thomasshire,UPI,2022-11-16
4728,Lauren Jackson,Books,506.33,2024-10-03,Pending,0.02,Hernandezbury,Wallet,2020-07-21
2800,Jeremy Barnes,Electronics,494.57,2024-04-18,Delivered,0.28,South Warren,Credit Card,2023-01-07
8726,Nancy Brown,Books,801.69,2023-09-18,Cancelled,0.09,New Mark,Cash,2023-03-27
8837,Emily Thompson,Groceries,247.61,2025-05-11,Cancelled,0.15,Amyview,UPI,2023-01-05
8932,David Grant,Electronics,496.86,2023-11-24,Delivered,0.15,Kellieborough,Credit Card,2023-05-10
9011,Gregory Peck,Electronics,913.27,2025-02-09,Delivered,0.07,Keithshire,Wallet,2023-04-19
9899,William Cardenas,Groceries,624.36,2025-01-23,Cancelled,0.24,West Bobby,UPI,2020-10-02
6674,Mary Burgess,Groceries,219.6,2023-11-16,Delivered,0.24,Port Amanda,Credit Card,2022-10-23
5450,Luis Matthews,Toys,891.66,2023-12-08,Pending,0.24,Lake Rebeccabury,UPI,2023-02-18
4814,Jason Love,Toys,233.32,2023-08-20,Delivered,0.01,North Tamara,Credit Card,2021-02-02
7666,Shirley Alvarez,Groceries,403.32,2024-10-20,Delivered,0.1,Port Tamara,UPI,2021-10-13
5676,Susan Davis,Books,662.05,2024-08-21,Pending,0.1,New Joanne,UPI,2020-07-29
3868,Ryan Peck,Groceries,924.96,2023-07-01,Returned,0.09,Frenchburgh,Cash,2021-08-25
1613,Keith Rodriguez,Toys,626.28,2024-02-18,Returned,0.13,Shawnside,UPI,2022-08-25
9092,Brandi Gordon,Books,873.64,2023-12-31,Returned,0.3,Port Daniel,Wallet,2021-02-09
8518,Michelle Smith,Electronics,178.23,2024-02-19,Pending,0.01,Ashleyborough,Cash,2021-03-01
7643,Kaylee Miller,Groceries,700.36,2024-11-03,Returned,0.23,East Tinafort,Wallet,2021-10-17
5064,James Griffin,Groceries,651.13,2023-12-27,Returned,0.01,Kevinshire,Credit Card,2020-06-19
5285,Melissa Brown,Fashion,343.48,2023-09-02,Returned,0.23,Parkerfurt,UPI,2023-05-03
9233,Stacy Carrillo,Electronics,74.39,2024-11-20,Returned,0.01,Lake Sabrinaport,Cash,2021-12-24
4618,Casey Hernandez,Groceries,375.16,2025-01-03,Delivered,0.3,Robertside,Wallet,2022-06-03
9806,Samantha Gill,Groceries,993.17,2024-11-12,Cancelled,0.07,New Seanstad,Wallet,2020-10-01
2838,Joshua Wagner,Electronics,699.7,2024-08-20,Delivered,0.15,East Mark,Cash,2022-08-19
2904,Michelle Burns,Fashion,922.29,2025-05-01,Returned,0.02,Stokesmouth,Credit Card,2020-12-23
9409,Justin Hansen,Toys,836.49,2024-11-06,Returned,0.05,Jenniferfurt,UPI,2021-07-02
1049,Laura Williams,Toys,598.71,2024-02-25,Pending,0.02,New Virginialand,Credit Card,2022-06-05
1519,Christopher Taylor,Electronics,915.87,2024-10-13,Cancelled,0.29,Brooksfurt,Wallet,2022-04-29
7184,Michael Stanley,Groceries,609.1,2024-07-25,Delivered,0.06,Lake Michelle,Wallet,2020-12-03
3924,Jenna Anderson DVM,Toys,933.34,2025-03-12,Cancelled,0.11,Port Andrewport,Wallet,2022-05-22
9920,James Hall,Toys,280.8,2024-05-25,Cancelled,0.28,Ericborough,Wallet,2020-11-24
1527,Jennifer Miranda,Groceries,363.64,2025-04-19,Pending,0.1,East Jamieville,Wallet,2022-12-11
1550,Michael Brennan,Toys,866.22,2023-12-10,Pending,0.02,South Scottside,Credit Card,2021-05-05
1924,Wyatt Young,Books,544.08,2025-05-14,Returned,0.01,Barbaramouth,Credit Card,2021-06-05
5944,Victoria Boyd,Books,783.59,2024-04-19,Pending,0.26,Joshuaside,Cash,2022-12-08
3869,Jessica Simpson,Electronics,159.67,2024-02-25,Returned,0.12,Floydmouth,Credit Card,2023-05-19
7821,Elijah White,Toys,682.47,2024-07-24,Cancelled,0.25,Allenbury,Wallet,2021-09-12
3365,Suzanne Hart,Groceries,42.65,2024-04-21,Returned,0.28,South John,UPI,2021-04-13
6411,Tammy Boone,Fashion,174.42,2023-08-13,Returned,0.22,North Joseph,Wallet,2023-04-14
1647,Chelsea Gill,Books,812.99,2024-12-16,Returned,0.24,South Jason,Wallet,2021-11-01
5967,Alexis Giles,Toys,429.83,2024-12-29,Cancelled,0.28,Lake Yvonnefort,UPI,2021-06-13
4350,David Morris,Groceries,160.46,2024-01-08,Pending,0.29,Owensstad,Wallet,2021-09-24
6892,Kathleen Garcia,Electronics,172.85,2024-12-15,Pending,0.16,Gillmouth,UPI,2021-04-13
7073,Angel Shields,Books,558.59,2024-12-29,Cancelled,0.03,North Jose,Credit Card,2022-11-26
